nro_identificacion;bgi_30;acierta_plus;score_trview;edad_cliente;INGRESOS;cupo_max_TDC;tiene_telcos;tiene_real;tiene_coop;ant_max;ant_real;ant_telcos;meses_ultima_apr_tdc;meses_ultima_apr_cab;num_tdc;util_tdc_rot;cant_mora_30;cant_mora_60;telcos;ciudad_exp;entidad_cupo_max;nro_ahor_mer;nro_corr_mer;nro_cons_2m_tdc_mer;nro_cons_2m_cab_mer;sector_real
2909;0;744;123;35;1440000;2700000;1;0;0;0.25;-1.00;1.83;22,7;NULL;1;0;0;0;1;BARANOA;B. FALLABELLA;0.00;0.00;0;0;0
2910;1;550;32;29;1929000;0;1;1;0;-1.00;0.67;3.58;NULL;NULL;0;0;5;1;3;CALI;;0.00;2.00;0;3;2
2911;0;586;14;31;1474000;0;0;1;0;0.33;0.33;-1.00;NULL;NULL;0;0,841428571;0;0;0;GALAPA;;0.00;2.00;1;1;2
2912;0;779;72;33;1937000;200000;1;1;0;5.25;0.17;2.08;79,56666667;NULL;1;0;0;0;1;FUSAGASUGA;TUYA S.A.;0.00;4.00;0;0;1
2913;0;7;24;21;1134000;0;0;1;0;-1.00;0.08;-1.00;NULL;NULL;0;0;0;0;0;ANOLAIMA;;0.00;4.00;1;1;1
2914;0;743;117;44;1532000;700000;0;1;0;9.33;0.17;-1.00;129,2666667;NULL;1;0,573466476;0;0;0;VALLEDUPAR;TUYA S.A.;0.00;2.00;0;0;1
2915;0;710;38;32;1788000;1500000;1;1;0;1.00;1.75;7.33;25,76666667;NULL;1;0,846102598;0;0;4;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;0.00;1;1;2
2916;0;757;123;31;1623000;3700000;0;1;0;8.33;0.17;-1.00;52,13333333;115,0666667;2;0,958555072;0;0;0;BOGOTA D.C.;BCO COLPATRIA;0.00;2.00;0;1;1
2917;0;621;11;25;1946000;1500000;0;1;1;4.00;1.67;-1.00;NULL;NULL;1;0,960692871;1;0;0;CUCUTA;BCO DAVIVIENDA;0.00;2.00;0;1;1
2918;1;469;12;45;1970000;3000000;1;1;0;2.75;6.75;4.25;37,93333333;NULL;2;0,186066091;1;1;2;GARAGOA;BCO COLPATRIA;0.00;0.00;0;0;2
2919;0;781;99;32;1465000;950000;1;0;0;0.25;-1.00;4.83;14,6;NULL;1;0,157728707;0;0;1;TUNJA;TUYA S.A.;0.00;2.00;1;0;0
2920;1;641;16;44;1689000;802000;0;1;0;1.58;1.92;-1.00;31,86666667;NULL;1;0;0;0;0;BUCARAMANGA;CREDIVALORES CREDIUNO;0.00;2.00;0;1;2
2921;0;704;154;58;7146000;22011000;1;0;0;25.75;-1.00;10.50;39,96666667;14,6;7;0,33039125;0;0;4;BOGOTA D.C.;BCO AVVILLAS MASTER CARD;6.00;0.00;0;1;0
2922;0;812;116;55;4488000;2000000;1;1;0;0.25;1.25;4.75;NULL;NULL;1;0;0;0;3;BOGOTA D.C.;BCO DAVIVIENDA;3.00;0.00;0;0;1
2923;1;641;19;26;1474000;0;1;1;0;-1.00;1.00;1.00;NULL;NULL;0;0;0;0;2;BOGOTA D.C.;;0.00;6.00;0;3;2
2924;1;691;44;30;4529000;8000000;1;0;0;6.83;-1.00;2.75;84,6;NULL;5;0,903312102;0;0;3;BOGOTA D.C.;BCO DE BOGOTA;0.00;4.00;0;2;0
2925;1;751;35;32;1134000;2000000;0;1;0;1.58;5.50;-1.00;38,93333333;NULL;2;0,938618029;0;0;0;BOGOTA D.C.;BCO DAVIVIENDA;0.00;2.00;0;1;1
2926;1;630;160;51;2136000;3200000;1;1;0;6.58;11.17;13.75;92,73333333;NULL;2;0,244183811;0;0;2;CIENAGA;BANCO SERFINANZA S.A;0.00;2.00;0;0;2
2927;0;702;70;41;1871000;0;1;1;0;-1.00;1.08;2.83;NULL;NULL;0;0;0;0;3;TELLO;;0.00;2.00;0;1;5
2928;0;823;140;62;1573000;2590000;1;1;0;13.08;4.08;11.33;146,4666667;NULL;2;0,04672681;0;0;2;PITALITO;BANCO SERFINANSA S.A;0.00;0.00;0;1;2
2929;1;474;28;59;1639000;1200000;0;0;0;1.00;-1.00;-1.00;31,86666667;23,73333333;1;0,566666667;2;0;0;TADO;TUYA S.A.;0.00;0.00;0;0;0
2930;1;398;32;33;3279000;3000000;1;1;0;3.67;11.17;6.08;51,1;51,1;3;0,871354774;4;2;1;BOGOTA D.C.;BBVA COLOMBIA;0.00;2.00;0;0;1
2931;0;793;133;41;5059000;6400000;0;0;0;5.17;-1.00;-1.00;31,86666667;NULL;3;0,541175378;0;0;0;POPAYAN;BANCOLOMBIA VISA;0.00;4.00;0;1;0
2932;0;767;154;54;2898000;3980000;1;1;0;11.00;0.33;8.92;153,6;NULL;1;0;0;0;2;SALENTO;TUYA S.A.;0.00;4.00;0;0;5
